rank	rep	method	FP	TP	n_ctrl	n_sig
0.006	number of replicate = 3	mutscan(edgeR)	0	0.01275045537340619	17	549
0.006	number of replicate = 3	mutscan(limma)	0	0.01821493624772313	17	549
0.008	number of replicate = 1	DiMSum	0	0.017175757864222003	17	526
0.008	number of replicate = 1	Enrich2	0	0.018438328944545803	17	526
0.008	number of replicate = 1	Naive	0	0.016539625548700376	17	526
0.008	number of replicate = 1	Rosace	0	0.01462391673643984	17	526
0.008	number of replicate = 1	Rosace(nopos)	0	0.015915587003435813	17	526
0.008	number of replicate = 1	mutscan(edgeR)	0	0.015269761137194726	17	526
0.008	number of replicate = 1	mutscan(limma)	0	0.017173320575656785	17	526
0.008	number of replicate = 2	DiMSum	0	0.018248722089944887	17	551
0.008	number of replicate = 2	Enrich2	0	0.019166153282605437	17	551
0.008	number of replicate = 2	Naive	0	0.013721507184601805	17	551
0.008	number of replicate = 2	Rosace	0	0.02006360412261276	17	551
0.008	number of replicate = 2	Rosace(nopos)	0	0.014598977671955905	17	551
0.008	number of replicate = 2	mutscan(edgeR)	0	0.018238731913618272	17	551
0.008	number of replicate = 2	mutscan(limma)	0	0.017331290897284336	17	551
0.008	number of replicate = 3	DiMSum	0	0.01275045537340619	17	549
0.008	number of replicate = 3	Enrich2	0	0.01639344262295082	17	549
0.008	number of replicate = 3	Naive	0	0.01275045537340619	17	549
0.008	number of replicate = 3	Rosace	0	0.02003642987249544	17	549
0.008	number of replicate = 3	Rosace(nopos)	0	0.02185792349726776	17	549
0.008	number of replicate = 3	mutscan(edgeR)	0	0.0145719489981785	17	549
0.008	number of replicate = 3	mutscan(limma)	0	0.02003642987249544	17	549
0.01	number of replicate = 1	DiMSum	0	0.01971303086415428	17	526
0.01	number of replicate = 1	Enrich2	0	0.022247885110035143	17	526
0.01	number of replicate = 1	Naive	0	0.02035889379942297	17	526
0.01	number of replicate = 1	Rosace	0	0.020990151537814167	17	526
0.01	number of replicate = 1	Rosace(nopos)	0	0.022272128254090685	17	526
0.01	number of replicate = 1	mutscan(edgeR)	0	0.018448041029779066	17	526
0.01	number of replicate = 1	mutscan(limma)	0	0.018450459783830482	17	526
0.01	number of replicate = 2	DiMSum	0	0.02371334854060174	17	551
0.01	number of replicate = 2	Enrich2	0	0.02465076008591551	17	551
0.01	number of replicate = 2	Naive	0	0.01827869261892472	17	551
0.01	number of replicate = 2	Rosace	0	0.026445661765930165	17	551
0.01	number of replicate = 2	Rosace(nopos)	0	0.021001015667926535	17	551
0.01	number of replicate = 2	mutscan(edgeR)	0	0.02373332889325496	17	551
0.01	number of replicate = 2	mutscan(limma)	0	0.02463077973326229	17	551
0.01	number of replicate = 3	DiMSum	0	0.01639344262295082	17	549
0.01	number of replicate = 3	Enrich2	0	0.02003642987249544	17	549
0.01	number of replicate = 3	Naive	0	0.01639344262295082	17	549
0.01	number of replicate = 3	Rosace	0	0.02185792349726776	17	549
0.01	number of replicate = 3	Rosace(nopos)	0	0.02367941712204007	17	549
0.01	number of replicate = 3	mutscan(edgeR)	0	0.02003642987249544	17	549
0.01	number of replicate = 3	mutscan(limma)	0	0.02550091074681238	17	549
0.012	number of replicate = 1	DiMSum	0	0.022893710976276228	17	526
0.012	number of replicate = 1	Enrich2	0	0.025423727714054267	17	526
0.012	number of replicate = 1	Naive	0	0.025445589173086	17	526
0.012	number of replicate = 1	Rosace	0	0.023539555377031115	17	526
0.012	number of replicate = 1	Rosace(nopos)	0	0.02609625254742991	17	526
0.012	number of replicate = 1	mutscan(edgeR)	0	0.023542011200110135	17	526
0.012	number of replicate = 1	mutscan(limma)	0	0.020995026114944602	17	526
0.012	number of replicate = 2	DiMSum	0	0.027363092958590716	17	551
0.012	number of replicate = 2	Enrich2	0	0.031042807905559536	17	551
0.012	number of replicate = 2	Naive	0	0.023753309245908183	17	551
0.012	number of replicate = 2	Rosace	0	0.030085416007592528	17	551
0.012	number of replicate = 2	Rosace(nopos)	0	0.025568191278576062	17	551
0.012	number of replicate = 2	mutscan(edgeR)	0	0.025558201102249448	17	551
0.012	number of replicate = 2	mutscan(limma)	0	0.03194025874556686	17	551
0.012	number of replicate = 3	DiMSum	0	0.02003642987249544	17	549
0.012	number of replicate = 3	Enrich2	0	0.02550091074681238	17	549
0.012	number of replicate = 3	Naive	0	0.02003642987249544	17	549
0.012	number of replicate = 3	Rosace	0	0.02550091074681238	17	549
0.012	number of replicate = 3	Rosace(nopos)	0	0.0273224043715847	17	549
0.012	number of replicate = 3	mutscan(edgeR)	0	0.02367941712204007	17	549
0.012	number of replicate = 3	mutscan(limma)	0	0.02914389799635701	17	549
0.014	number of replicate = 1	DiMSum	0	0.02480212645735491	17	526
0.014	number of replicate = 1	Enrich2	0	0.029245433253342074	17	526
0.014	number of replicate = 1	Naive	0	0.029891296188610764	17	526
0.014	number of replicate = 1	Rosace	0	0.026722672777718275	17	526
0.014	number of replicate = 1	Rosace(nopos)	0	0.028002249274457186	17	526
0.014	number of replicate = 1	mutscan(edgeR)	0	0.024809438323050565	17	526
0.014	number of replicate = 1	mutscan(limma)	0	0.02608414024265904	17	526
0.014	number of replicate = 2	DiMSum	0	0.032847699761900793	17	551
0.014	number of replicate = 2	Enrich2	0	0.03378511130721457	17	551
0.014	number of replicate = 2	Naive	0	0.031052798081886143	17	551
0.014	number of replicate = 2	Rosace	0	0.0337351604255815	17	551
0.014	number of replicate = 2	Rosace(nopos)	0	0.030135366889225593	17	551
0.014	number of replicate = 2	mutscan(edgeR)	0	0.031042807905559536	17	551
0.014	number of replicate = 2	mutscan(limma)	0	0.037394895019897095	17	551
0.014	number of replicate = 3	DiMSum	0	0.0273224043715847	17	549
0.014	number of replicate = 3	Enrich2	0	0.02914389799635701	17	549
0.014	number of replicate = 3	Naive	0	0.02550091074681238	17	549
0.014	number of replicate = 3	Rosace	0	0.02914389799635701	17	549
0.014	number of replicate = 3	Rosace(nopos)	0	0.02914389799635701	17	549
0.014	number of replicate = 3	mutscan(edgeR)	0	0.03096539162112932	17	549
0.014	number of replicate = 3	mutscan(limma)	0	0.03096539162112932	17	549
0.016	number of replicate = 1	DiMSum	0	0.02925752702359914	17	526
0.016	number of replicate = 1	Enrich2	0	0.03560924930066499	17	526
0.016	number of replicate = 1	Naive	0	0.03433942195818695	17	526
0.016	number of replicate = 1	Rosace	0	0.029898496847223593	17	526
0.016	number of replicate = 1	Rosace(nopos)	0	0.034344240931775974	17	526
0.016	number of replicate = 1	mutscan(edgeR)	0	0.029893677873634575	17	526
0.016	number of replicate = 1	mutscan(limma)	0	0.028626269285207947	17	526
0.016	number of replicate = 2	DiMSum	0	0.037414875372550324	17	551
0.016	number of replicate = 2	Enrich2	0	0.036517424532542996	17	551
0.016	number of replicate = 2	Naive	0	0.04017715912685858	17	551
0.016	number of replicate = 2	Rosace	0	0.034642601441915444	17	551
0.016	number of replicate = 2	Rosace(nopos)	0	0.03379510148354119	17	551
0.016	number of replicate = 2	mutscan(edgeR)	0	0.03286768011455402	17	551
0.016	number of replicate = 2	mutscan(limma)	0	0.042879501823207176	17	551
0.016	number of replicate = 3	DiMSum	0	0.02914389799635701	17	549
0.016	number of replicate = 3	Enrich2	0	0.03460837887067395	17	549
0.016	number of replicate = 3	Naive	0	0.03096539162112932	17	549
0.016	number of replicate = 3	Rosace	0	0.03278688524590164	17	549
0.016	number of replicate = 3	Rosace(nopos)	0	0.03096539162112932	17	549
0.016	number of replicate = 3	mutscan(edgeR)	0	0.03642987249544627	17	549
0.016	number of replicate = 3	mutscan(limma)	0	0.03460837887067395	17	549
0.018	number of replicate = 1	DiMSum	0	0.03371050883579195	17	526
0.018	number of replicate = 1	Enrich2	0	0.040064631332395406	17	526
0.018	number of replicate = 1	Naive	0	0.036881551000735854	17	526
0.018	number of replicate = 1	Rosace	0	0.033708034478199124	17	526
0.018	number of replicate = 1	Rosace(nopos)	0	0.03816349064798476	17	526
0.018	number of replicate = 1	mutscan(edgeR)	0	0.03306950194313989	17	526
0.018	number of replicate = 1	mutscan(limma)	0	0.03244797482449576	17	526
0.018	number of replicate = 2	DiMSum	0	0.04014718859787875	17	551
0.018	number of replicate = 2	Enrich2	0	0.041074609966865905	17	551
0.018	number of replicate = 2	Naive	0	0.0465692069465026	17	551
0.018	number of replicate = 2	Rosace	0	0.03736492449091726	17	551
0.018	number of replicate = 2	Rosace(nopos)	0	0.041094590319519134	17	551
0.018	number of replicate = 2	mutscan(edgeR)	0	0.03742486554887693	17	551
0.018	number of replicate = 2	mutscan(limma)	0	0.04743668725753009	17	551
0.018	number of replicate = 3	DiMSum	0	0.03825136612021858	17	549
0.018	number of replicate = 3	Enrich2	0	0.04007285974499089	17	549
0.018	number of replicate = 3	Naive	0	0.03278688524590164	17	549
0.018	number of replicate = 3	Rosace	0	0.04007285974499089	17	549
0.018	number of replicate = 3	Rosace(nopos)	0	0.03278688524590164	17	549
0.018	number of replicate = 3	mutscan(edgeR)	0	0.04189435336976321	17	549
0.018	number of replicate = 3	mutscan(limma)	0	0.03825136612021858	17	549
0.02	number of replicate = 1	DiMSum	0	0.03816590940203617	17	526
0.02	number of replicate = 1	Enrich2	0	0.043250167487133985	17	526
0.02	number of replicate = 1	Naive	0	0.04069110716622519	17	526
0.02	number of replicate = 1	Rosace	0	0.03689600792150292	17	526
0.02	number of replicate = 1	Rosace(nopos)	0	0.0419730468134741	17	526
0.02	number of replicate = 1	mutscan(edgeR)	0	0.0394333179904628	17	526
0.02	number of replicate = 1	mutscan(limma)	0	0.03753950770626161	17	526
0.02	number of replicate = 2	DiMSum	0	0.04471436420852827	17	551
0.02	number of replicate = 2	Enrich2	0	0.04381691336852095	17	551
0.02	number of replicate = 2	Naive	0	0.05021895136449158	17	551
0.02	number of replicate = 2	Rosace	0	0.041922109925240175	17	551
0.02	number of replicate = 2	Rosace(nopos)	0	0.04475432491383473	17	551
0.02	number of replicate = 2	mutscan(edgeR)	0	0.04198205098319985	17	551
0.02	number of replicate = 2	mutscan(limma)	0	0.0511064120281723	17	551
0.02	number of replicate = 3	DiMSum	0	0.04371584699453552	17	549
0.02	number of replicate = 3	Enrich2	0	0.04371584699453552	17	549
0.02	number of replicate = 3	Naive	0	0.03642987249544627	17	549
0.02	number of replicate = 3	Rosace	0	0.04189435336976321	17	549
0.02	number of replicate = 3	Rosace(nopos)	0	0.03642987249544627	17	549
0.02	number of replicate = 3	mutscan(edgeR)	0	0.04553734061930783	17	549
0.02	number of replicate = 3	mutscan(limma)	0	0.03825136612021858	17	549
0.022	number of replicate = 1	DiMSum	0	0.04389115584527225	17	526
0.022	number of replicate = 1	Enrich2	0	0.0477031492993268	17	526
0.022	number of replicate = 1	Naive	0	0.0445127756364854	17	526
0.022	number of replicate = 1	Rosace	0	0.04007426927957346	17	526
0.022	number of replicate = 1	Rosace(nopos)	0	0.046426028625666915	17	526
0.022	number of replicate = 1	mutscan(edgeR)	0	0.04387658771742235	17	526
0.022	number of replicate = 1	mutscan(limma)	0	0.039445485898775084	17	526
0.022	number of replicate = 2	DiMSum	0	0.0511064120281723	17	551
0.022	number of replicate = 2	Enrich2	0	0.0529412744134934	17	551
0.022	number of replicate = 2	Naive	0	0.05478612697514111	17	551
0.022	number of replicate = 2	Rosace	0	0.04650926588854293	17	551
0.022	number of replicate = 2	Rosace(nopos)	0	0.047496628315489765	17	551
0.022	number of replicate = 2	mutscan(edgeR)	0	0.04380692319219434	17	551
0.022	number of replicate = 2	mutscan(limma)	0	0.05749845984781631	17	551
0.022	number of replicate = 3	DiMSum	0	0.05282331511839708	17	549
0.022	number of replicate = 3	Enrich2	0	0.04553734061930783	17	549
0.022	number of replicate = 3	Naive	0	0.04189435336976321	17	549
0.022	number of replicate = 3	Rosace	0	0.04371584699453552	17	549
0.022	number of replicate = 3	Rosace(nopos)	0	0.04189435336976321	17	549
0.022	number of replicate = 3	mutscan(edgeR)	0	0.04918032786885246	17	549
0.022	number of replicate = 3	mutscan(limma)	0	0.04007285974499089	17	549
0.024	number of replicate = 1	DiMSum	0	0.047074273245959405	17	526
0.024	number of replicate = 1	Enrich2	0	0.05088628523452776	17	526
0.024	number of replicate = 1	Naive	0.019607843137254898	0.04960430851825125	17	526
0.024	number of replicate = 1	Rosace	0	0.04389110024173083	17	526
0.024	number of replicate = 1	Rosace(nopos)	0	0.047695874502658754	17	526
0.024	number of replicate = 1	mutscan(edgeR)	0	0.04578258444444963	17	526
0.024	number of replicate = 1	mutscan(limma)	0	0.04388875562573464	17	526
0.024	number of replicate = 2	DiMSum	0	0.054756156446161275	17	551
0.024	number of replicate = 2	Enrich2	0	0.05934331240946403	17	551
0.024	number of replicate = 2	Naive	0	0.05569356799147505	17	551
0.024	number of replicate = 2	Rosace	0	0.051993872691853016	17	551
0.024	number of replicate = 2	Rosace(nopos)	0	0.05115636290980535	17	551
0.024	number of replicate = 2	mutscan(edgeR)	0	0.05295126458982001	17	551
0.024	number of replicate = 2	mutscan(limma)	0	0.05931334188048419	17	551
0.024	number of replicate = 3	DiMSum	0	0.05828779599271402	17	549
0.024	number of replicate = 3	Enrich2	0	0.05282331511839708	17	549
0.024	number of replicate = 3	Naive	0	0.04371584699453552	17	549
0.024	number of replicate = 3	Rosace	0	0.04371584699453552	17	549
0.024	number of replicate = 3	Rosace(nopos)	0	0.04371584699453552	17	549
0.024	number of replicate = 3	mutscan(edgeR)	0	0.0546448087431694	17	549
0.024	number of replicate = 3	mutscan(limma)	0	0.04553734061930783	17	549
0.026	number of replicate = 1	DiMSum	0	0.05217068070485569	17	526
0.026	number of replicate = 1	Enrich2	0	0.055341667266258186	17	526
0.026	number of replicate = 1	Naive	0.019607843137254898	0.05341626490327819	17	526
0.026	number of replicate = 1	Rosace	0	0.05216091301608102	17	526
0.026	number of replicate = 1	Rosace(nopos)	0	0.05278256987632179	17	526
0.026	number of replicate = 1	mutscan(edgeR)	0	0.050233128968077224	17	526
0.026	number of replicate = 1	mutscan(limma)	0	0.04643574071090017	17	526
0.026	number of replicate = 2	DiMSum	0	0.06296308629847316	17	551
0.026	number of replicate = 2	Enrich2	0	0.06938510464709702	17	551
0.026	number of replicate = 2	Naive	0	0.06025075342579797	17	551
0.026	number of replicate = 2	Rosace	0	0.05656104830250254	17	551
0.026	number of replicate = 2	Rosace(nopos)	0	0.05479611715146772	17	551
0.026	number of replicate = 2	mutscan(edgeR)	0	0.057508450024142926	17	551
0.026	number of replicate = 2	mutscan(limma)	0	0.06476797815481443	17	551
0.026	number of replicate = 3	DiMSum	0	0.06557377049180328	17	549
0.026	number of replicate = 3	Enrich2	0	0.05646630236794171	17	549
0.026	number of replicate = 3	Naive	0	0.04735883424408015	17	549
0.026	number of replicate = 3	Rosace	0	0.04553734061930783	17	549
0.026	number of replicate = 3	Rosace(nopos)	0	0.04553734061930783	17	549
0.026	number of replicate = 3	mutscan(edgeR)	0	0.06375227686703097	17	549
0.026	number of replicate = 3	mutscan(limma)	0	0.05100182149362477	17	549
0.028	number of replicate = 1	DiMSum	0	0.0540815334744996	17	526
0.028	number of replicate = 1	Enrich2	0	0.059794649078451	17	526
0.028	number of replicate = 1	Naive	0.019607843137254898	0.05532226163030547	17	526
0.028	number of replicate = 1	Rosace	0	0.057235459015945574	17	526
0.028	number of replicate = 1	Rosace(nopos)	0	0.05659941937299297	17	526
0.028	number of replicate = 1	mutscan(edgeR)	0	0.05150297484506907	17	526
0.028	number of replicate = 1	mutscan(limma)	0	0.05215613111151961	17	526
0.028	number of replicate = 2	DiMSum	0	0.06662282089278876	17	551
0.028	number of replicate = 2	Enrich2	0	0.07395228025774656	17	551
0.028	number of replicate = 2	Naive	0	0.06208561581111907	17	551
0.028	number of replicate = 2	Rosace	0	0.05931334188048419	17	551
0.028	number of replicate = 2	Rosace(nopos)	0	0.059373282938443864	17	551
0.028	number of replicate = 2	mutscan(edgeR)	0	0.0629830666511264	17	551
0.028	number of replicate = 2	mutscan(limma)	0	0.07117001615078505	17	551
0.028	number of replicate = 3	DiMSum	0	0.0692167577413479	17	549
0.028	number of replicate = 3	Enrich2	0	0.06010928961748633	17	549
0.028	number of replicate = 3	Naive	0	0.05100182149362477	17	549
0.028	number of replicate = 3	Rosace	0	0.05282331511839708	17	549
0.028	number of replicate = 3	Rosace(nopos)	0	0.04735883424408015	17	549
0.028	number of replicate = 3	mutscan(edgeR)	0	0.06375227686703097	17	549
0.028	number of replicate = 3	mutscan(limma)	0	0.05100182149362477	17	549
0.03	number of replicate = 1	DiMSum	0	0.0579008017252222	17	526
0.03	number of replicate = 1	Enrich2	0	0.06424761235613001	17	526
0.03	number of replicate = 1	Naive	0.019607843137254898	0.057228239822818945	17	526
0.03	number of replicate = 1	Rosace	0	0.062324573143660016	17	526
0.03	number of replicate = 1	Rosace(nopos)	0	0.05978253677368013	17	526
0.03	number of replicate = 1	mutscan(edgeR)	0	0.0585005044538622	17	526
0.03	number of replicate = 1	mutscan(limma)	0	0.05787895880070427	17	526
0.03	number of replicate = 2	DiMSum	0	0.0711899965034383	17	551
0.03	number of replicate = 2	Enrich2	0	0.08034432807739056	17	551
0.03	number of replicate = 2	Naive	0	0.0666627815980952	17	551
0.03	number of replicate = 2	Rosace	0	0.06389050766746034	17	551
0.03	number of replicate = 2	Rosace(nopos)	0	0.06394045854909339	17	551
0.03	number of replicate = 2	mutscan(edgeR)	0	0.06756023243810254	17	551
0.03	number of replicate = 2	mutscan(limma)	0	0.07390232937611349	17	551
0.03	number of replicate = 3	DiMSum	0	0.07832422586520947	17	549
0.03	number of replicate = 3	Enrich2	0	0.06193078324225865	17	549
0.03	number of replicate = 3	Naive	0	0.05646630236794171	17	549
0.03	number of replicate = 3	Rosace	0	0.06010928961748633	17	549
0.03	number of replicate = 3	Rosace(nopos)	0	0.04918032786885246	17	549
0.03	number of replicate = 3	mutscan(edgeR)	0	0.06557377049180328	17	549
0.03	number of replicate = 3	mutscan(limma)	0	0.0546448087431694	17	549
0.032	number of replicate = 1	DiMSum	0	0.06171763268737958	17	526
0.032	number of replicate = 1	Enrich2	0	0.06743072975681717	17	526
0.032	number of replicate = 1	Naive	0.019607843137254898	0.059772806153933065	17	526
0.032	number of replicate = 1	Rosace	0	0.06678239246395565	17	526
0.032	number of replicate = 1	Rosace(nopos)	0	0.06423308129730773	17	526
0.032	number of replicate = 1	mutscan(edgeR)	0	0.06295348626605501	17	526
0.032	number of replicate = 1	mutscan(limma)	0	0.06169578976286164	17	526
0.032	number of replicate = 2	DiMSum	0	0.07849947551574285	17	551
0.032	number of replicate = 2	Enrich2	0	0.08309662165537221	17	551
0.032	number of replicate = 2	Naive	0	0.0684976439834163	17	551
0.032	number of replicate = 2	Rosace	0	0.06754025208544931	17	551
0.032	number of replicate = 2	Rosace(nopos)	0	0.07307480977039245	17	551
0.032	number of replicate = 2	mutscan(edgeR)	0	0.07121996703241812	17	551
0.032	number of replicate = 2	mutscan(limma)	0	0.07937694600309696	17	551
0.032	number of replicate = 3	DiMSum	0	0.08196721311475409	17	549
0.032	number of replicate = 3	Enrich2	0	0.06557377049180328	17	549
0.032	number of replicate = 3	Naive	0	0.06010928961748633	17	549
0.032	number of replicate = 3	Rosace	0	0.06739526411657559	17	549
0.032	number of replicate = 3	Rosace(nopos)	0	0.04918032786885246	17	549
0.032	number of replicate = 3	mutscan(edgeR)	0	0.06739526411657559	17	549
0.032	number of replicate = 3	mutscan(limma)	0	0.05828779599271402	17	549
0.034	number of replicate = 1	DiMSum	0	0.06617059596505859	17	526
0.034	number of replicate = 1	Enrich2	0	0.07187643677234194	17	526
0.034	number of replicate = 1	Naive	0.019607843137254898	0.06358721836203904	17	526
0.034	number of replicate = 1	Rosace	0	0.0737823408268002	17	526
0.034	number of replicate = 1	Rosace(nopos)	0	0.06678735971365511	17	526
0.034	number of replicate = 1	mutscan(edgeR)	0	0.06613418491269077	17	526
0.034	number of replicate = 1	mutscan(limma)	0	0.06614633428648924	17	526
0.034	number of replicate = 2	DiMSum	0	0.08032434772473734	17	551
0.034	number of replicate = 2	Enrich2	0	0.08764381691336853	17	551
0.034	number of replicate = 2	Naive	0	0.0703225161924108	17	551
0.034	number of replicate = 2	Rosace	0	0.07576716229041443	17	551
0.034	number of replicate = 2	Rosace(nopos)	0	0.07764198538104199	17	551
0.034	number of replicate = 2	mutscan(edgeR)	0	0.07396227043407316	17	551
0.034	number of replicate = 2	mutscan(limma)	0	0.08301670024475932	17	551
0.034	number of replicate = 3	DiMSum	0	0.08561020036429873	17	549
0.034	number of replicate = 3	Enrich2	0	0.07285974499089254	17	549
0.034	number of replicate = 3	Naive	0	0.06375227686703097	17	549
0.034	number of replicate = 3	Rosace	0	0.07468123861566485	17	549
0.034	number of replicate = 3	Rosace(nopos)	0	0.04918032786885246	17	549
0.034	number of replicate = 3	mutscan(edgeR)	0	0.07285974499089254	17	549
0.034	number of replicate = 3	mutscan(limma)	0	0.06375227686703097	17	549
0.036	number of replicate = 1	DiMSum	0	0.07253199325833008	17	526
0.036	number of replicate = 1	Enrich2	0	0.0750595727075429	17	526
0.036	number of replicate = 1	Naive	0.019607843137254898	0.06676547972010957	17	526
0.036	number of replicate = 1	Rosace	0	0.0801461568741231	17	526
0.036	number of replicate = 1	Rosace(nopos)	0	0.06869091915211717	17	526
0.036	number of replicate = 1	mutscan(edgeR)	0	0.0705896040134488	17	526
0.036	number of replicate = 1	mutscan(limma)	0	0.06868604457498673	17	526
0.036	number of replicate = 2	DiMSum	0	0.08489152333538687	17	551
0.036	number of replicate = 2	Enrich2	0	0.09403586473301254	17	551
0.036	number of replicate = 2	Naive	0	0.07487970162673371	17	551
0.036	number of replicate = 2	Rosace	0	0.0794069165320768	17	551
0.036	number of replicate = 2	Rosace(nopos)	0	0.0821991708153649	17	551
0.036	number of replicate = 2	mutscan(edgeR)	0	0.07760202467573553	17	551
0.036	number of replicate = 2	mutscan(limma)	0	0.08759386603173547	17	551
0.036	number of replicate = 3	DiMSum	0	0.09107468123861566	17	549
0.036	number of replicate = 3	Enrich2	0	0.07650273224043716	17	549
0.036	number of replicate = 3	Naive	0	0.06557377049180328	17	549
0.036	number of replicate = 3	Rosace	0	0.08014571948998178	17	549
0.036	number of replicate = 3	Rosace(nopos)	0	0.0546448087431694	17	549
0.036	number of replicate = 3	mutscan(edgeR)	0	0.07285974499089254	17	549
0.036	number of replicate = 3	mutscan(limma)	0	0.06557377049180328	17	549
0.038	number of replicate = 1	DiMSum	0	0.07634882422048746	17	526
0.038	number of replicate = 1	Enrich2	0	0.07951497327378712	17	526
0.038	number of replicate = 1	Naive	0.019607843137254898	0.06930760876265847	17	526
0.038	number of replicate = 1	Rosace	0	0.0852425643330194	17	526
0.038	number of replicate = 1	Rosace(nopos)	0	0.07187159926423911	17	526
0.038	number of replicate = 1	mutscan(edgeR)	0	0.0775847148681905	17	526
0.038	number of replicate = 1	mutscan(limma)	0	0.07186430593305726	17	526
0.038	number of replicate = 2	DiMSum	0	0.0876238365607153	17	551
0.038	number of replicate = 2	Enrich2	0	0.09586073694200703	17	551
0.038	number of replicate = 2	Naive	0	0.0785394362210493	17	551
0.038	number of replicate = 2	Rosace	0	0.08582893488070065	17	551
0.038	number of replicate = 2	Rosace(nopos)	0	0.08493148404069331	17	551
0.038	number of replicate = 2	mutscan(edgeR)	0	0.08034432807739056	17	551
0.038	number of replicate = 2	mutscan(limma)	0	0.09218102199503822	17	551
0.038	number of replicate = 3	DiMSum	0	0.09289617486338798	17	549
